               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.035576,            0.015602,            0.030338,             0.63956,             0.71378,             0.69376,             0.44141,            0.029824,           0.0059487,             0.01251,           0.0088516,           0.0088516,           0.0088516
                  60,            0.035736,             0.01563,            0.030099,             0.63945,             0.71527,             0.70019,             0.44609,            0.029752,           0.0059615,            0.012307,           0.0088318,           0.0088318,           0.0088318
                  61,            0.035665,            0.015648,            0.029664,             0.65878,             0.71208,             0.70462,             0.44864,            0.029623,           0.0059545,            0.012136,            0.008812,            0.008812,            0.008812
                  62,            0.035404,            0.015524,            0.029951,             0.66544,             0.70461,             0.70562,             0.45118,            0.029608,           0.0059407,            0.011987,           0.0087922,           0.0087922,           0.0087922
                  63,            0.035484,            0.015559,            0.029919,             0.68795,              0.7089,             0.71217,             0.45584,            0.029426,           0.0059184,             0.01183,           0.0087724,           0.0087724,           0.0087724
                  64,            0.035543,            0.015827,            0.029945,             0.67154,             0.71429,               0.717,             0.45822,            0.029395,           0.0059119,            0.011776,           0.0087526,           0.0087526,           0.0087526
                  65,            0.035416,            0.015536,            0.029624,             0.65882,             0.72421,              0.7225,             0.46342,            0.029219,           0.0059134,            0.011588,           0.0087328,           0.0087328,           0.0087328
                  66,            0.035295,            0.015619,            0.030065,             0.65275,             0.72875,             0.72509,             0.46382,            0.029215,           0.0059155,            0.011454,            0.008713,            0.008713,            0.008713
                  67,             0.03556,             0.01569,            0.029537,             0.66837,             0.72289,             0.72637,             0.46622,            0.029062,           0.0059016,            0.011472,           0.0086932,           0.0086932,           0.0086932
                  68,            0.035533,            0.015599,            0.029258,             0.66136,             0.73371,              0.7265,             0.46643,            0.029079,           0.0058945,             0.01129,           0.0086734,           0.0086734,           0.0086734
                  69,            0.035364,            0.015526,            0.029322,              0.6596,             0.73419,             0.73426,             0.47339,            0.029016,           0.0058832,            0.011203,           0.0086536,           0.0086536,           0.0086536
                  70,            0.035309,             0.01564,             0.02932,             0.66156,             0.72739,             0.73488,             0.47314,            0.029025,           0.0058818,            0.011047,           0.0086338,           0.0086338,           0.0086338
                  71,            0.035208,            0.015596,            0.029123,             0.67185,             0.73082,              0.7343,              0.4736,            0.028983,           0.0058896,            0.010967,            0.008614,            0.008614,            0.008614
                  72,            0.035172,            0.015552,            0.028964,             0.67692,             0.72685,              0.7396,             0.47823,            0.028899,           0.0058789,            0.010787,           0.0085942,           0.0085942,           0.0085942
                  73,            0.035268,            0.015566,            0.028709,             0.67889,             0.73952,             0.74094,             0.47878,            0.028863,           0.0058611,            0.010674,           0.0085744,           0.0085744,           0.0085744
                  74,             0.03511,            0.015528,            0.028645,             0.68392,             0.73866,             0.74224,             0.48006,            0.028746,           0.0058482,            0.010521,           0.0085546,           0.0085546,           0.0085546
                  75,            0.035265,            0.015564,            0.028516,             0.66979,             0.73971,             0.74624,             0.48346,            0.028622,           0.0058296,            0.010423,           0.0085348,           0.0085348,           0.0085348
                  76,            0.035067,            0.015351,            0.028412,             0.69581,             0.73693,             0.74888,             0.48591,            0.028619,            0.005837,            0.010323,            0.008515,            0.008515,            0.008515
                  77,            0.034689,            0.015504,            0.028753,             0.70142,             0.73291,             0.75405,             0.49108,            0.028511,           0.0058187,            0.010235,           0.0084952,           0.0084952,           0.0084952
                  78,            0.035095,            0.015491,            0.028227,             0.70111,             0.73885,             0.75777,             0.49504,             0.02849,            0.005818,            0.010121,           0.0084754,           0.0084754,           0.0084754
                  79,            0.035012,            0.015577,            0.028783,             0.69075,             0.73721,             0.75783,              0.4946,            0.028495,           0.0058113,            0.010069,           0.0084556,           0.0084556,           0.0084556
                  80,            0.035383,            0.015649,            0.028014,             0.68591,             0.74453,             0.76004,              0.4963,            0.028491,           0.0058109,           0.0099719,           0.0084358,           0.0084358,           0.0084358
                  81,            0.035157,            0.015515,             0.02811,             0.69204,             0.74643,             0.76187,             0.49804,            0.028448,           0.0058088,           0.0098593,            0.008416,            0.008416,            0.008416
                  82,            0.034912,            0.015417,            0.027671,             0.71397,             0.74603,             0.76539,             0.50004,            0.028404,            0.005803,           0.0097704,           0.0083962,           0.0083962,           0.0083962
